Codi Municipi Edats Homes Dones Total
80142 Aiguafreda 21 11 9 20
80142 Aiguafreda 22 19 14 33
80142 Aiguafreda 23 12 14 26
80142 Aiguafreda 24 11 13 24
80142 Aiguafreda 25 6 3 9
80142 Aiguafreda 26 10 12 22
80142 Aiguafreda 27 13 10 23
80142 Aiguafreda 28 12 7 19
80142 Aiguafreda 29 16 14 30
80142 Aiguafreda 30 9 11 20
80142 Aiguafreda 31 9 18 27
80142 Aiguafreda 32 11 10 21
80142 Aiguafreda 33 15 5 20
80142 Aiguafreda 34 20 21 41
80142 Aiguafreda 35 18 19 37
80142 Aiguafreda 36 16 30 46
80142 Aiguafreda 37 29 17 46
80142 Aiguafreda 38 13 14 27
80142 Aiguafreda 39 18 17 35
80142 Aiguafreda 40 26 24 50
80142 Aiguafreda 41 22 29 51
80142 Aiguafreda 42 19 20 39
80142 Aiguafreda 43 28 21 49
80142 Aiguafreda 44 19 17 36
80142 Aiguafreda 45 16 18 34
80142 Aiguafreda 46 18 18 36
80142 Aiguafreda 47 21 19 40
80142 Aiguafreda 48 17 16 33
80142 Aiguafreda 49 19 22 41
80142 Aiguafreda 50 31 15 46
80142 Aiguafreda 51 27 24 51
80142 Aiguafreda 52 18 21 39
80142 Aiguafreda 53 11 23 34
80142 Aiguafreda 54 30 12 42
80142 Aiguafreda 55 18 22 40
80142 Aiguafreda 56 15 25 40
80142 Aiguafreda 57 18 22 40
80142 Aiguafreda 58 22 19 41
80142 Aiguafreda 59 8 13 21
80142 Aiguafreda 60 18 17 35
80142 Aiguafreda 61 16 12 28
80142 Aiguafreda 62 11 10 21
80142 Aiguafreda 63 16 17 33
80142 Aiguafreda 64 7 12 19
80142 Aiguafreda 65 15 16 31
80142 Aiguafreda 66 20 18 38
80142 Aiguafreda 67 10 16 26
80142 Aiguafreda 68 8 16 24
80142 Aiguafreda 69 13 11 24
80142 Aiguafreda 70 11 16 27
80142 Aiguafreda 71 13 9 22
80142 Aiguafreda 72 12 8 20
80142 Aiguafreda 73 14 11 25
80142 Aiguafreda 74 8 15 23
80142 Aiguafreda 75 10 12 22
80142 Aiguafreda 76 9 16 25
80142 Aiguafreda 77 2 13 15
80142 Aiguafreda 78 4 13 17
80142 Aiguafreda 79 9 13 22
80142 Aiguafreda 80 10 4 14
80142 Aiguafreda 81 5 10 15
80142 Aiguafreda 82 8 9 17
80142 Aiguafreda 83 8 18 26
80142 Aiguafreda 84 8 13 21
80142 Aiguafreda 85 4 12 16
80142 Aiguafreda 86 7 12 19
80142 Aiguafreda 87 3 7 10
80142 Aiguafreda 88 6 12 18
80142 Aiguafreda 89 2 7 9
80142 Aiguafreda 90 3 2 5
80142 Aiguafreda 91 4 3 7
80142 Aiguafreda 92 2 8 10
80142 Aiguafreda 93 1 3 4
80142 Aiguafreda 94 2 2 4
80142 Aiguafreda 95 0 1 1
80142 Aiguafreda 96 2 1 3
80142 Aiguafreda 97 0 2 2
80142 Aiguafreda 98 0 1 1
80142 Aiguafreda 99 0 0 0
80142 Aiguafreda 100 0 0 0
430017 Aiguamúrcia 0 1 1 2
430017 Aiguamúrcia 1 5 8 13
430017 Aiguamúrcia 2 3 2 5
430017 Aiguamúrcia 3 1 5 6
430017 Aiguamúrcia 4 10 4 14
430017 Aiguamúrcia 5 3 3 6
430017 Aiguamúrcia 6 5 4 9
430017 Aiguamúrcia 7 5 10 15
430017 Aiguamúrcia 8 3 7 10
430017 Aiguamúrcia 9 0 2 2
430017 Aiguamúrcia 10 4 6 10
430017 Aiguamúrcia 11 6 6 12
430017 Aiguamúrcia 12 2 2 4
430017 Aiguamúrcia 13 2 3 5
430017 Aiguamúrcia 14 2 4 6
430017 Aiguamúrcia 15 7 3 10
430017 Aiguamúrcia 16 6 4 10
430017 Aiguamúrcia 17 4 7 11
430017 Aiguamúrcia 18 2 3 5
430017 Aiguamúrcia 19 5 3 8
430017 Aiguamúrcia 20 2 7 9
430017 Aiguamúrcia 21 6 8 14
430017 Aiguamúrcia 22 4 2 6
